"X--Kurve 1::[-I(TK1), cc1 capacitance=0]","Y--Kurve 1::[-I(TK1), cc1 capacitance=0]",,"X--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]","Y--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]",,"X--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]","Y--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]",,"X--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]","Y--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]",,"X--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]","Y--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]",,"X--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]","Y--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]"
0.000524642,0.622175,,0.000524642,0.598138,,0.000524642,0.591278,,0.000524642,0.589712,,0.000524642,0.58853,,0.000524642,0.586795
0.000530832,0.621167,,0.000530832,0.60391,,0.000530832,0.595222,,0.000530832,0.592512,,0.000530832,0.590713,,0.000530832,0.588632
0.00054,0.619679,,0.00054,0.609537,,0.00054,0.599895,,0.00054,0.596042,,0.00054,0.593552,,0.00054,0.591067
0.000541238,0.617834,,0.000541238,0.609823,,0.000541238,0.600226,,0.000541238,0.596281,,0.000541238,0.593725,,0.000541238,0.5912
0.000543714,0.614164,,0.000543714,0.610168,,0.000543714,0.600769,,0.000543714,0.596683,,0.000543714,0.594016,,0.000543714,0.591424
0.000548666,0.606922,,0.000548666,0.609647,,0.000548666,0.601191,,0.000548666,0.597054,,0.000548666,0.594282,,0.000548666,0.591624
0.000558569,0.592816,,0.000558569,0.604973,,0.000558569,0.599759,,0.000558569,0.596247,,0.000558569,0.593658,,0.000558569,0.591102
0.00056,0.591182,,0.00056,0.604003,,0.00056,0.599361,,0.00056,0.596007,,0.00056,0.593482,,0.00056,0.590965
0.000561981,0.592364,,0.000561981,0.603133,,0.000561981,0.599161,,0.000561981,0.596005,,0.000561981,0.593564,,0.000561981,0.591097
0.000565942,0.59473,,0.000565942,0.601735,,0.000565942,0.59888,,0.000565942,0.596071,,0.000565942,0.593775,,0.000565942,0.591397
0.000573865,0.599503,,0.000573865,0.600685,,0.000573865,0.598988,,0.000573865,0.596603,,0.000573865,0.594484,,0.000573865,0.592221
0.00058,0.603291,,0.00058,0.601165,,0.00058,0.599629,,0.00058,0.597365,,0.00058,0.59529,,0.00058,0.593061
0.000581585,0.604053,,0.000581585,0.601426,,0.000581585,0.599852,,0.000581585,0.597591,,0.000581585,0.595515,,0.000581585,0.593288
0.000584754,0.605535,,0.000584754,0.60201,,0.000584754,0.60033,,0.000584754,0.598065,,0.000584754,0.59598,,0.000584754,0.593751
0.000591092,0.608515,,0.000591092,0.603521,,0.000591092,0.601492,,0.000591092,0.599154,,0.000591092,0.597018,,0.000591092,0.594767
0.0006,0.612753,,0.0006,0.606258,,0.0006,0.60354,,0.0006,0.600982,,0.0006,0.598712,,0.0006,0.596387
0.000601268,0.611773,,0.000601268,0.606476,,0.000601268,0.603685,,0.000601268,0.601099,,0.000601268,0.59881,,0.000601268,0.596475
0.000603803,0.60976,,0.000603803,0.606773,,0.000603803,0.603906,,0.000603803,0.601286,,0.000603803,0.598971,,0.000603803,0.596621
0.000608874,0.605766,,0.000608874,0.606651,,0.000608874,0.603983,,0.000608874,0.601416,,0.000608874,0.599112,,0.000608874,0.596769
0.000619015,0.597893,,0.000619015,0.604245,,0.000619015,0.602887,,0.000619015,0.600805,,0.000619015,0.598728,,0.000619015,0.596529
0.00063,0.589658,,0.00063,0.599428,,0.00063,0.600178,,0.00063,0.599019,,0.00063,0.59743,,0.00063,0.595546
0.000632,0.59064,,0.000632,0.598772,,0.000632,0.599846,,0.000632,0.598858,,0.000632,0.597366,,0.000632,0.595546
