"X--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]","Y--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]",,"X--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]","Y--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]",,"X--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]","Y--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]",,"X--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]","Y--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]",,"X--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]","Y--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]",,"X--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]","Y--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]"
0.00044,14.7766,,0.00044,14.7493,,0.00044,14.7365,,0.00044,14.7481,,0.00044,14.7588,,0.00044,14.767
0.000441889,14.8082,,0.000441889,14.7507,,0.000441889,14.7369,,0.000441889,14.7482,,0.000441889,14.7587,,0.000441889,14.7669
0.000445667,14.851,,0.000445667,14.7535,,0.000445667,14.7375,,0.000445667,14.7482,,0.000445667,14.7586,,0.000445667,14.7667
0.000453223,14.8744,,0.000453223,14.7597,,0.000453223,14.7392,,0.000453223,14.7486,,0.000453223,14.7585,,0.000453223,14.7665
0.00046,14.8742,,0.00046,14.7657,,0.00046,14.7411,,0.00046,14.7492,,0.00046,14.7586,,0.00046,14.7664
0.000461511,14.8638,,0.000461511,14.7671,,0.000461511,14.7415,,0.000461511,14.7493,,0.000461511,14.7587,,0.000461511,14.7664
0.000464533,14.8512,,0.000464533,14.7699,,0.000464533,14.7425,,0.000464533,14.7496,,0.000464533,14.7587,,0.000464533,14.7664
0.000470578,14.8431,,0.000470578,14.7756,,0.000470578,14.7445,,0.000470578,14.7504,,0.000470578,14.759,,0.000470578,14.7664
0.00048,14.8429,,0.00048,14.7849,,0.00048,14.7479,,0.00048,14.7517,,0.00048,14.7595,,0.00048,14.7666
0.000481209,14.8115,,0.000481209,14.786,,0.000481209,14.7483,,0.000481209,14.7519,,0.000481209,14.7596,,0.000481209,14.7665
0.000483627,14.7656,,0.000483627,14.7883,,0.000483627,14.7492,,0.000483627,14.7522,,0.000483627,14.7596,,0.000483627,14.7665
0.000488462,14.7271,,0.000488462,14.7926,,0.000488462,14.7508,,0.000488462,14.7527,,0.000488462,14.7598,,0.000488462,14.7665
0.000498134,14.7119,,0.000498134,14.8002,,0.000498134,14.7538,,0.000498134,14.7537,,0.000498134,14.7599,,0.000498134,14.7662
0.0005,14.7093,,0.0005,14.8015,,0.0005,14.7543,,0.0005,14.7539,,0.0005,14.7599,,0.0005,14.7662
0.000501934,14.6635,,0.000501934,14.8027,,0.000501934,14.7547,,0.000501934,14.754,,0.000501934,14.7599,,0.000501934,14.766
0.000505803,14.6001,,0.000505803,14.8047,,0.000505803,14.7555,,0.000505803,14.754,,0.000505803,14.7596,,0.000505803,14.7657
0.00051354,14.558,,0.00051354,14.8073,,0.00051354,14.7564,,0.00051354,14.7538,,0.00051354,14.7589,,0.00051354,14.7648
0.00052,14.5352,,0.00052,14.8078,,0.00052,14.7565,,0.00052,14.7531,,0.00052,14.758,,0.00052,14.7638
0.000521547,14.5969,,0.000521547,14.8078,,0.000521547,14.7565,,0.000521547,14.753,,0.000521547,14.7578,,0.000521547,14.7636
0.000524642,14.7005,,0.000524642,14.8079,,0.000524642,14.7566,,0.000524642,14.7528,,0.000524642,14.7575,,0.000524642,14.7632
0.000530832,14.7748,,0.000530832,14.8079,,0.000530832,14.7569,,0.000530832,14.7525,,0.000530832,14.757,,0.000530832,14.7626
0.00054,14.7884,,0.00054,14.8078,,0.00054,14.7574,,0.00054,14.7521,,0.00054,14.7562,,0.00054,14.7617
0.000541238,14.8189,,0.000541238,14.8078,,0.000541238,14.7575,,0.000541238,14.7522,,0.000541238,14.7562,,0.000541238,14.7616
0.000543714,14.8661,,0.000543714,14.8079,,0.000543714,14.7578,,0.000543714,14.7522,,0.000543714,14.7561,,0.000543714,14.7615
0.000548666,14.9077,,0.000548666,14.8084,,0.000548666,14.7586,,0.000548666,14.7524,,0.000548666,14.7561,,0.000548666,14.7614
0.000558569,14.9231,,0.000558569,14.8103,,0.000558569,14.7608,,0.000558569,14.7534,,0.000558569,14.7564,,0.000558569,14.7613
0.00056,14.915,,0.00056,14.8107,,0.00056,14.7612,,0.00056,14.7535,,0.00056,14.7564,,0.00056,14.7614
