X--Kurve 1::[-I(R1:2) | I(TK1)],Y--Kurve 1::[-I(R1:2) | I(TK1)],,X--Kurve 2::[V(1) | V(TK4)],Y--Kurve 2::[V(1) | V(TK4)]
0.00241231,0.57012,,0.00241231,14.8575
0.00242,0.568768,,0.00242,14.8578
0.00242141,0.569796,,0.00242141,14.8576
0.00242422,0.571855,,0.00242422,14.857
0.00242985,0.576007,,0.00242985,14.856
0.00244,0.583619,,0.00244,14.8541
0.00244113,0.585232,,0.00244113,14.8537
0.00244338,0.588275,,0.00244338,14.8529
0.00244788,0.594434,,0.00244788,14.8514
0.00245689,0.607043,,0.00245689,14.8482
0.00246,0.611836,,0.00246,14.847
0.0024618,0.610471,,0.0024618,14.8474
0.0024654,0.607686,,0.0024654,14.8481
0.00247261,0.602174,,0.00247261,14.8495
0.00248,0.596658,,0.00248,14.8508
0.00248144,0.597349,,0.00248144,14.8507
0.00248432,0.598634,,0.00248432,14.8503
0.00249009,0.601214,,0.00249009,14.8497
0.0025,0.605697,,0.0025,14.8486
0.00250115,0.60555,,0.00250115,14.8486
0.00250346,0.605191,,0.00250346,14.8487
0.00250807,0.604473,,0.00250807,14.8489
0.00251729,0.60304,,0.00251729,14.8492
0.00252,0.602625,,0.00252,14.8493
0.00252184,0.605404,,0.00252184,14.8486
0.00252553,0.611027,,0.00252553,14.8472
0.00253291,0.622509,,0.00253291,14.8444
0.00254,0.634125,,0.00254,14.8415
0.00254148,0.635803,,0.00254148,14.841
0.00254443,0.638742,,0.00254443,14.8403
0.00255033,0.644681,,0.00255033,14.8388
0.00256,0.654626,,0.00256,14.8363
0.00256118,0.653523,,0.00256118,14.8366
0.00256354,0.651021,,0.00256354,14.8372
0.00256826,0.646058,,0.00256826,14.8385
0.00257771,0.636303,,0.00257771,14.8409
0.00258,0.634144,,0.00258,14.8415
0.00258189,0.63529,,0.00258189,14.8412
0.00258567,0.637576,,0.00258567,14.8406
0.00259322,0.642187,,0.00259322,14.8395
0.0026,0.646409,,0.0026,14.8384
0.00260151,0.645901,,0.00260151,14.8385
0.00260453,0.644833,,0.00260453,14.8388
0.00261058,0.642704,,0.00261058,14.8393
0.00262267,0.638477,,0.00262267,14.8404
0.00263,0.63597,,0.00263,14.841
0.002632,0.636712,,0.002632,14.8408
0.002636,0.638179,,0.002636,14.8405
0.002644,0.641128,,0.002644,14.8397
0.00265,0.643371,,0.00265,14.8392
0.0026516,0.643566,,0.0026516,14.8391
0.0026548,0.643939,,0.0026548,14.839
0.0026612,0.644687,,0.0026612,14.8388
0.00267,0.645717,,0.00267,14.8386
0.00267128,0.646938,,0.00267128,14.8383
0.00267384,0.649387,,0.00267384,14.8377
0.00267896,0.654328,,0.00267896,14.8364
0.00268408,0.659373,,0.00268408,14.8352
0.00269,0.665291,,0.00269,14.8337
0.00269102,0.66567,,0.00269102,14.8336
0.00269307,0.666323,,0.00269307,14.8334
0.00269717,0.66763,,0.00269717,14.8331
0.00270536,0.670258,,0.00270536,14.8324
0.00271,0.671767,,0.00271,14.8321
0.00271164,0.668479,,0.00271164,14.8329
0.00271492,0.661978,,0.00271492,14.8345
0.00272147,0.649257,,0.00272147,14.8377
0.00273,0.633486,,0.00273,14.8416
0.00273131,0.633105,,0.00273131,14.8417
0.00273393,0.631589,,0.00273393,14.8421
0.00273918,0.628574,,0.00273918,14.8429
0.00274442,0.625597,,0.00274442,14.8436
0.00275,0.622458,,0.00275,14.8444
0.00275105,0.622338,,0.00275105,14.8444
0.00275315,0.622067,,0.00275315,14.8445
0.00275734,0.621526,,0.00275734,14.8446
0.00276573,0.620446,,0.00276573,14.8449
0.00277,0.619899,,0.00277,14.845
0.00277168,0.618928,,0.00277168,14.8453
0.00277503,0.616992,,0.00277503,14.8458
0.00278174,0.613147,,0.00278174,14.8467
