X--Kurve 1::[P(U1) | P(TK6)],Y--Kurve 1::[P(U1) | P(TK6)]
0.0041516,4.01511
0.0041548,4.047
0.0041612,4.11193
0.00417,4.20481
0.00417128,4.19991
0.00417384,4.18592
0.00417896,4.15815
0.00418408,4.13088
0.00419,4.09973
0.00419102,4.09132
0.00419307,4.07412
0.00419717,4.04004
0.00420536,3.97315
0.00421,3.93744
0.00421164,3.94373
0.00421492,3.9557
0.00422147,3.97981
0.00423,4.01169
0.00423131,4.01213
0.00423393,4.01251
0.00423918,4.01326
0.00424442,4.01401
0.00425,4.01481
0.00425105,4.02519
0.00425315,4.04608
0.00425734,4.08834
0.00426573,4.17489
0.00427,4.22248
0.00427168,4.22402
0.00427503,4.22604
0.00428174,4.2301
0.00429,4.2351
0.00429134,4.2415
0.00429403,4.25435
0.0042994,4.28024
0.00431,4.33208
0.00431107,4.34104
0.00431322,4.35777
0.00431752,4.39152
0.00432611,4.46021
0.00433,4.4933
0.00433172,4.4798
0.00433515,4.45252
0.00434203,4.3987
0.00435,4.3382
0.00435137,4.33696
0.00435412,4.33283
0.00435962,4.32458
0.00437062,4.30815
0.00438,4.29429
0.004382,4.27022
0.004386,4.22267
0.004394,4.12993
0.0044,4.065
0.0044016,4.06291
0.0044048,4.05667
0.0044112,4.04424
0.00442,4.02726
0.00442128,4.02822
0.00442384,4.02999
0.00442896,4.03354
0.00443408,4.0371
0.00444,4.04123
0.00444102,4.03599
0.00444307,4.02555
0.00444717,4.00481
0.00445536,3.96378
0.00446,3.94138
0.00446164,3.94174
0.00446492,3.9422
0.00447147,3.94313
0.00448,3.94433
0.00448131,3.94894
0.00448393,3.95817
0.00448918,3.97672
0.00449442,3.99553
0.0045,4.01573
0.00450105,4.01297
0.00450315,4.00726
0.00450734,3.99589
0.00451573,3.97329
0.00452,3.96203
0.00452168,3.94106
0.00452503,3.89963
0.00453174,3.81869
0.00454,3.72433
0.00454134,3.72736
0.00454403,3.7288
0.0045494,3.73168
0.00456,3.73737
0.00456107,3.73803
0.00456322,3.73934
0.00456752,3.74195
0.00457611,3.74718
0.00458,3.74956
0.00458172,3.75571
0.00458515,3.76806
0.00459203,3.79294
0.0046,3.8223
0.00460137,3.82112
0.00460412,3.81832
0.00460962,3.81271
0.00462,3.80216
0.0046211,3.80023
0.0046233,3.79632
0.0046277,3.78849
0.00463649,3.77293
0.00465,3.74925
0.00465176,3.75977
0.00465528,3.78064
0.00466231,3.82291
0.00467,3.87047
0.00467141,3.86791
0.00467422,3.86162
0.00467985,3.84907
0.00469,3.82662
0.00469113,3.8256
0.00469338,3.8233
0.00469788,3.81869
0.00470689,3.8095
0.00471,3.80637
0.0047118,3.78626
0.0047154,3.74655
0.00472261,3.669
0.00473,3.59388
0.00473144,3.59281
0.00473432,3.58761
0.00474009,3.57723
0.00475,3.55952
0.00475115,3.5645
0.00475346,3.5743
0.00475807,3.59404
0.00476729,3.63401
0.00477,3.64642
0.00477184,3.63668
0.00477553,3.61726
0.00478291,3.57888
0.00479,3.54309
0.00479148,3.53428
0.00479443,3.51605
0.00480033,3.48002
0.00481,3.42241
0.00481118,3.41828
0.00481354,3.40814
0.00481826,3.38802
0.00482771,3.34831
0.00483,3.33933
0.00483189,3.33397
0.00483567,3.32324
0.00484322,3.30194
0.00485,3.28318
0.00485151,3.27772
0.00485453,3.26665
0.00486058,3.24468
0.00487,3.21097
0.00487121,3.20829
0.00487363,3.20224
0.00487846,3.19022
0.00488813,3.16636
0.0049,3.13766
0.00490193,3.14939
0.0049058,3.17258
0.00491354,3.2197
0.00492,3.26079
0.00492155,3.27237
0.00492464,3.29465
0.00493083,3.33991
0.00494,3.40921
0.00494124,3.40371
0.00494371,3.38986
0.00494867,3.36242
0.00495857,3.30854
0.00496,3.30183
0.00496198,3.30549
0.00496594,3.3128
0.00497386,3.32751
0.00498,3.33905
0.00498158,3.35033
0.00498475,3.37297
0.00499109,3.41898
0.005,3.48582
0.00500127,3.48267
0.0050038,3.47373
0.00500887,3.45596
0.00501394,3.43845
0.00502,3.41773
0.00502101,3.40927
0.00502304,3.39223
0.0050271,3.35852
0.00503521,3.29261
0.00504,3.25629
0.00504162,3.24591
0.00504487,3.22451
0.00505136,3.18233
0.00506,3.12799
0.0050613,3.1261
0.00506389,3.12049
0.00506909,3.1093
0.00507428,3.09824
0.00508,3.08612
0.00508104,3.09341
0.00508312,3.10799
0.00508727,3.13747
0.00509558,3.19768
0.0051,3.232
0.00510166,3.22904
0.00510498,3.22243
0.00511163,3.20926
0.00512492,3.18316
0.00513,3.17354
0.005132,3.16784
0.005136,3.15643
0.005144,3.13378
0.00515,3.11718
0.0051516,3.12298
0.0051548,3.13445
0.0051612,3.15758
0.00517,3.18996
0.00517128,3.18795
0.00517384,3.18324
0.00517896,3.17387
0.00518408,3.16457
0.00519,3.15388
0.00519102,3.15289
0.00519307,3.15085
0.00519717,3.14678
0.00520536,3.13866
0.00521,3.13409
0.00521164,3.13919
0.00521492,3.1494
0.00522147,3.16998
0.00523,3.19721
0.00523131,3.20384
0.00523393,3.21671
0.00523918,3.24267
0.00524442,3.26921
0.00525,3.29793
0.00525105,3.29639
0.00525315,3.2928
0.00525734,3.28565
0.00526573,3.27142
0.00527,3.26429
0.00527168,3.2654
0.00527503,3.2676
0.00528174,3.27201
0.00529,3.27745
0.00529134,3.27099
0.00529403,3.25813
0.0052994,3.23264
0.00531,3.18317
0.00531107,3.18883
0.00531322,3.19869
0.00531752,3.21854
0.00532611,3.25882
0.00533,3.27799
0.00533172,3.29812
0.00533515,3.3388
0.00534203,3.42243
0.00535,3.52596
0.00535137,3.53796
0.00535412,3.55578
0.00535962,3.5918
0.00537,3.6614
0.0053711,3.66507
0.0053733,3.66966
0.0053777,3.67888
0.00538649,3.69743
0.0054,3.72625
0.00540176,3.72555
0.00540528,3.72369
0.00541231,3.71997
0.00542,3.71591
0.00542141,3.71993
0.00542422,3.72797
0.00542985,3.74413
0.00544,3.77355
0.00544113,3.77106
0.00544338,3.76561
0.00544788,3.75475
0.00545689,3.73317
0.00546,3.72592
0.0054618,3.72088
0.0054654,3.71081
0.00547261,3.6908
0.00548,3.67057
